Measure,Dependent Measure
d1a9deb4-1d02-44d7-ae43-f27a2891ed62,e9f49c3c-5aa0-4049-8847-1fbb786d8dd7
e1509d01-cc35-4e66-b0b5-e2c5bb25ea8b,e9f49c3c-5aa0-4049-8847-1fbb786d8dd7
e9f49c3c-5aa0-4049-8847-1fbb786d8dd7,8b452eea-a9c2-4fa9-aada-0c42882613b8
e1509d01-cc35-4e66-b0b5-e2c5bb25ea8b,8b452eea-a9c2-4fa9-aada-0c42882613b8
30e60428-ef2b-40ee-b30e-1a52cf461450,33e0b13f-dcd1-401f-af8d-f66eb447a22b
eddacdaa-eb92-4c5f-b447-3ccb063de6c7,7b78e84f-ca62-4d2b-a1ba-f0c8de410aee
33e0b13f-dcd1-401f-af8d-f66eb447a22b,7b78e84f-ca62-4d2b-a1ba-f0c8de410aee
7b78e84f-ca62-4d2b-a1ba-f0c8de410aee,3b86aa8f-4101-41c6-8d5c-7ba50409e686
33e0b13f-dcd1-401f-af8d-f66eb447a22b,3b86aa8f-4101-41c6-8d5c-7ba50409e686
6bc3f3b8-398b-4db1-8d3b-47a4e984429b,c8df0e07-8bda-4d44-bde3-6b12231d0d1c
a5d5ac25-ba32-4073-bdb7-08ec322d18df,8cc7f6a2-c341-4ea2-9c4f-24cacd1e1ec2
c8df0e07-8bda-4d44-bde3-6b12231d0d1c,8cc7f6a2-c341-4ea2-9c4f-24cacd1e1ec2
